experiment_id,experiment_name,model,feature_group,split,seed,timestamp,metric_mae,tag_level
ensemble_A_WeightedEnsemble_ALL_FEATURES_A_20260819_191029,ensemble_A,WeightedEnsemble,ALL_FEATURES,A,,2026-08-19T19:10:29.243484,6.257714910152484,region
ensemble_A_StackingEnsemble_ALL_FEATURES_A_20260819_191054,ensemble_A,StackingEnsemble,ALL_FEATURES,A,,2026-08-19T19:10:54.056765,7.111889098700254,region
ensemble_A_WeightedEnsemble_ELECTORAL_ONLY_A_20260819_191117,ensemble_A,WeightedEnsemble,ELECTORAL_ONLY,A,,2026-08-19T19:11:17.860460,6.026153464606174,region
ensemble_A_StackingEnsemble_ELECTORAL_ONLY_A_20260819_191142,ensemble_A,StackingEnsemble,ELECTORAL_ONLY,A,,2026-08-19T19:11:42.449113,5.916019203511813,region
ensemble_A_WeightedEnsemble_ROSSTAT_ONLY_A_20260819_191208,ensemble_A,WeightedEnsemble,ROSSTAT_ONLY,A,,2026-08-19T19:12:08.635605,6.079239836175222,region
ensemble_A_StackingEnsemble_ROSSTAT_ONLY_A_20260819_191231,ensemble_A,StackingEnsemble,ROSSTAT_ONLY,A,,2026-08-19T19:12:31.032057,7.101738411774253,region
ensemble_A_WeightedEnsemble_ALL_FEATURES_A_20260820_115819,ensemble_A,WeightedEnsemble,ALL_FEATURES,A,,2026-08-20T11:58:19.956456,6.4028898409533594,region
ensemble_A_StackingEnsemble_ALL_FEATURES_A_20260820_115841,ensemble_A,StackingEnsemble,ALL_FEATURES,A,,2026-08-20T11:58:41.556803,27.043541649300405,region
ensemble_A_WeightedEnsemble_ALL_FEATURES_A_20260820_120109,ensemble_A,WeightedEnsemble,ALL_FEATURES,A,,2026-08-20T12:01:09.261093,6.4028898409533594,region
ensemble_A_StackingEnsemble_ALL_FEATURES_A_20260820_120136,ensemble_A,StackingEnsemble,ALL_FEATURES,A,,2026-08-20T12:01:36.122808,27.04354164930045,region
ensemble_A_WeightedEnsemble_ELECTORAL_ONLY_A_20260820_124145,ensemble_A,WeightedEnsemble,ELECTORAL_ONLY,A,,2026-08-20T12:41:45.890152,5.294383114170515,region
ensemble_A_StackingEnsemble_ELECTORAL_ONLY_A_20260820_124216,ensemble_A,StackingEnsemble,ELECTORAL_ONLY,A,,2026-08-20T12:42:16.550282,22.561553655267303,region
ensemble_A_WeightedEnsemble_ROSSTAT_ONLY_A_20260820_124247,ensemble_A,WeightedEnsemble,ROSSTAT_ONLY,A,,2026-08-20T12:42:47.298444,6.352533275099198,region
ensemble_A_StackingEnsemble_ROSSTAT_ONLY_A_20260820_124319,ensemble_A,StackingEnsemble,ROSSTAT_ONLY,A,,2026-08-20T12:43:19.441484,14.138877613001775,region
