experiment_id,experiment_name,model,feature_group,split,seed,timestamp,metric_mae,metric_UR_share_mae,metric_KPRF_share_mae,metric_LDPR_share_mae,tag_level
linear_A_LinearRegression_ALL_FEATURES_A_20260819_161153,linear_A,LinearRegression,ALL_FEATURES,A,,2026-08-19T16:11:53.098315,11.907203038808966,8.923639248588646,23.671708712247796,3.126261155590453,region
linear_A_Ridge_ALL_FEATURES_A_20260819_161153,linear_A,Ridge,ALL_FEATURES,A,,2026-08-19T16:11:53.100263,11.259179694791195,8.019659343210023,22.61485262152503,3.143027119638533,region
linear_A_ElasticNet_ALL_FEATURES_A_20260819_161153,linear_A,ElasticNet,ALL_FEATURES,A,,2026-08-19T16:11:53.101326,10.858069183534425,7.587406942553386,21.679520169916703,3.3072804381331897,region
linear_A_LinearRegression_ELECTORAL_ONLY_A_20260819_161153,linear_A,LinearRegression,ELECTORAL_ONLY,A,,2026-08-19T16:11:53.102194,12.659782298811317,10.616524657757578,21.475705834241154,5.887116404435221,region
linear_A_Ridge_ELECTORAL_ONLY_A_20260819_161153,linear_A,Ridge,ELECTORAL_ONLY,A,,2026-08-19T16:11:53.102923,12.413258903369451,10.305865088063943,20.888439036678392,6.04547258536602,region
linear_A_ElasticNet_ELECTORAL_ONLY_A_20260819_161153,linear_A,ElasticNet,ELECTORAL_ONLY,A,,2026-08-19T16:11:53.103636,12.48103110909593,10.365717327721669,21.222885276822453,5.85449072274367,region
linear_A_LinearRegression_ROSSTAT_ONLY_A_20260819_161153,linear_A,LinearRegression,ROSSTAT_ONLY,A,,2026-08-19T16:11:53.104339,10.121477142244695,8.101491259861234,18.033454158133903,4.2294860087389505,region
linear_A_Ridge_ROSSTAT_ONLY_A_20260819_161153,linear_A,Ridge,ROSSTAT_ONLY,A,,2026-08-19T16:11:53.105022,9.745687158804959,8.560039210651018,16.746716044505348,3.9303062212585096,region
linear_A_ElasticNet_ROSSTAT_ONLY_A_20260819_161153,linear_A,ElasticNet,ROSSTAT_ONLY,A,,2026-08-19T16:11:53.105728,9.325764683098702,10.008291935191703,14.181181277390953,3.7878208367134523,region
linear_A_LinearRegression_ALL_FEATURES_A_20260819_161253,linear_A,LinearRegression,ALL_FEATURES,A,,2026-08-19T16:12:53.829769,11.907203038808966,8.923639248588646,23.671708712247796,3.126261155590453,region
linear_A_Ridge_ALL_FEATURES_A_20260819_161253,linear_A,Ridge,ALL_FEATURES,A,,2026-08-19T16:12:53.832264,11.259179694791195,8.019659343210023,22.61485262152503,3.143027119638533,region
linear_A_ElasticNet_ALL_FEATURES_A_20260819_161253,linear_A,ElasticNet,ALL_FEATURES,A,,2026-08-19T16:12:53.833536,10.858069183534425,7.587406942553386,21.679520169916703,3.3072804381331897,region
linear_A_LinearRegression_ELECTORAL_ONLY_A_20260819_161253,linear_A,LinearRegression,ELECTORAL_ONLY,A,,2026-08-19T16:12:53.834699,12.659782298811317,10.616524657757578,21.475705834241154,5.887116404435221,region
linear_A_Ridge_ELECTORAL_ONLY_A_20260819_161253,linear_A,Ridge,ELECTORAL_ONLY,A,,2026-08-19T16:12:53.835802,12.413258903369451,10.305865088063943,20.888439036678392,6.04547258536602,region
linear_A_ElasticNet_ELECTORAL_ONLY_A_20260819_161253,linear_A,ElasticNet,ELECTORAL_ONLY,A,,2026-08-19T16:12:53.836908,12.48103110909593,10.365717327721669,21.222885276822453,5.85449072274367,region
