experiment_id,experiment_name,model,feature_group,split,seed,timestamp,metric_mae,metric_UR_share_mae,metric_KPRF_share_mae,metric_LDPR_share_mae,tag_level
linear_B_LinearRegression_ALL_FEATURES_B_20260819_161258,linear_B,LinearRegression,ALL_FEATURES,B,,2026-08-19T16:12:58.003449,9.934002261494328,14.017340707288799,4.300022920521616,11.48464315667257,region
linear_B_Ridge_ALL_FEATURES_B_20260819_161258,linear_B,Ridge,ALL_FEATURES,B,,2026-08-19T16:12:58.005306,9.933577418007912,14.14419978409379,4.335284309520609,11.321248160409336,region
linear_B_ElasticNet_ALL_FEATURES_B_20260819_161258,linear_B,ElasticNet,ALL_FEATURES,B,,2026-08-19T16:12:58.006193,9.495135578264978,13.139785524513641,4.039700731301396,11.305920478979898,region
linear_B_LinearRegression_ELECTORAL_ONLY_B_20260819_161258,linear_B,LinearRegression,ELECTORAL_ONLY,B,,2026-08-19T16:12:58.006946,8.83286475807037,8.953131683557213,4.031094555457889,13.514368035196004,region
linear_B_Ridge_ELECTORAL_ONLY_B_20260819_161258,linear_B,Ridge,ELECTORAL_ONLY,B,,2026-08-19T16:12:58.007696,8.85791730316714,9.02532469529397,3.9882229734529373,13.560204240754512,region
linear_B_ElasticNet_ELECTORAL_ONLY_B_20260819_161258,linear_B,ElasticNet,ELECTORAL_ONLY,B,,2026-08-19T16:12:58.008425,8.85448589853432,9.44357664162154,3.873371164970303,13.246509889011111,region
linear_B_LinearRegression_ROSSTAT_ONLY_B_20260819_161258,linear_B,LinearRegression,ROSSTAT_ONLY,B,,2026-08-19T16:12:58.009237,10.757579692020933,13.20168736916898,5.281523016687525,13.789528690206296,region
linear_B_Ridge_ROSSTAT_ONLY_B_20260819_161258,linear_B,Ridge,ROSSTAT_ONLY,B,,2026-08-19T16:12:58.009953,10.507970271387967,13.39031275248901,5.284439387546298,12.849158674128592,region
linear_B_ElasticNet_ROSSTAT_ONLY_B_20260819_161258,linear_B,ElasticNet,ROSSTAT_ONLY,B,,2026-08-19T16:12:58.010836,10.768794531346694,15.249531823139039,5.481968247695094,11.57488352320595,region
linear_B_LinearRegression_ALL_FEATURES_B_20260819_190738,linear_B,LinearRegression,ALL_FEATURES,B,,2026-08-19T19:07:38.297641,7.06977122078906,7.119399216097357,6.490721098466136,7.599193347803688,region
linear_B_Ridge_ALL_FEATURES_B_20260819_190738,linear_B,Ridge,ALL_FEATURES,B,,2026-08-19T19:07:38.299619,7.0697023357830675,7.186341842912473,6.431637928784595,7.591127235652135,region
linear_B_ElasticNet_ALL_FEATURES_B_20260819_190738,linear_B,ElasticNet,ALL_FEATURES,B,,2026-08-19T19:07:38.300532,6.754044898806572,6.859291725139289,5.777640894911696,7.625202076368729,region
linear_B_LinearRegression_ALL_FEATURES_B_20260820_114752,linear_B,LinearRegression,ALL_FEATURES,B,,2026-08-20T11:47:52.596499,8.19544387696977,9.748592587449275,7.964106962521035,6.873632080939,region
linear_B_LinearRegression_ALL_FEATURES_B_20260820_114907,linear_B,LinearRegression,ALL_FEATURES,B,,2026-08-20T11:49:07.748508,8.19544387696977,9.748592587449275,7.964106962521035,6.873632080939,region
linear_B_Ridge_ALL_FEATURES_B_20260820_114907,linear_B,Ridge,ALL_FEATURES,B,,2026-08-20T11:49:07.750233,7.345718211564567,8.870005007097738,6.518699394645121,6.648450232950843,region
linear_B_ElasticNet_ALL_FEATURES_B_20260820_114907,linear_B,ElasticNet,ALL_FEATURES,B,,2026-08-20T11:49:07.751051,7.705567246574536,10.791685156837913,8.298619972134361,4.026396610751336,region
linear_B_LinearRegression_ELECTORAL_ONLY_B_20260820_120450,linear_B,LinearRegression,ELECTORAL_ONLY,B,,2026-08-20T12:04:50.364196,7.875304121609495,8.591004737452286,8.449144288339946,6.585763339036251,region
linear_B_Ridge_ELECTORAL_ONLY_B_20260820_120450,linear_B,Ridge,ELECTORAL_ONLY,B,,2026-08-20T12:04:50.366821,6.909359639812468,8.758552220750381,7.233734809815125,4.735791888871899,region
linear_B_ElasticNet_ELECTORAL_ONLY_B_20260820_120450,linear_B,ElasticNet,ELECTORAL_ONLY,B,,2026-08-20T12:04:50.367987,7.7023381367205355,10.78199782727591,8.298619972134361,4.026396610751336,region
linear_B_LinearRegression_ROSSTAT_ONLY_B_20260820_120450,linear_B,LinearRegression,ROSSTAT_ONLY,B,,2026-08-20T12:04:50.368719,8.146084209022819,9.266493374860826,6.336951700728711,8.834807551478919,region
linear_B_Ridge_ROSSTAT_ONLY_B_20260820_120450,linear_B,Ridge,ROSSTAT_ONLY,B,,2026-08-20T12:04:50.369397,8.572505904230235,12.233396671678562,6.660257180037029,6.823863860975114,region
linear_B_ElasticNet_ROSSTAT_ONLY_B_20260820_120450,linear_B,ElasticNet,ROSSTAT_ONLY,B,,2026-08-20T12:04:50.370085,8.383517814587451,11.207024368329547,6.785103438650263,7.158425636782544,region
linear_B_LinearRegression_ALL_FEATURES_B_20260820_124951,linear_B,LinearRegression,ALL_FEATURES,B,,2026-08-20T12:49:51.036834,8.19544387696977,9.748592587449275,7.964106962521035,6.873632080939,region
linear_B_Ridge_ALL_FEATURES_B_20260820_124951,linear_B,Ridge,ALL_FEATURES,B,,2026-08-20T12:49:51.040415,7.345718211564567,8.870005007097738,6.518699394645121,6.648450232950843,region
linear_B_ElasticNet_ALL_FEATURES_B_20260820_124951,linear_B,ElasticNet,ALL_FEATURES,B,,2026-08-20T12:49:51.042526,7.705567246574536,10.791685156837913,8.298619972134361,4.026396610751336,region
