experiment_id,experiment_name,model,feature_group,split,seed,timestamp,hp_seeds,metric_mae,metric_UR_share_mae,metric_KPRF_share_mae,metric_LDPR_share_mae,tag_level,tag_n_seeds
neural_B_MLPSklearn_ALL_FEATURES_B_20260819_165946,neural_B,MLPSklearn,ALL_FEATURES,B,,2026-08-19T16:59:46.077296,"[42, 123, 456, 789, 2026]",12.15056345251748,21.04492623292869,7.007538243838615,8.399225880785133,region,5
neural_B_MLPTorch_ALL_FEATURES_B_20260819_165950,neural_B,MLPTorch,ALL_FEATURES,B,,2026-08-19T16:59:50.341075,"[42, 123, 456, 789, 2026]",12.420375906675867,19.17241256336291,7.3620598311686205,10.726655325496072,region,5
neural_B_MLPSklearn_ELECTORAL_ONLY_B_20260819_165958,neural_B,MLPSklearn,ELECTORAL_ONLY,B,,2026-08-19T16:59:58.367943,"[42, 123, 456, 789, 2026]",10.392945192253341,16.05503804433618,5.0553455527356075,10.068451979688234,region,5
neural_B_MLPTorch_ELECTORAL_ONLY_B_20260819_170002,neural_B,MLPTorch,ELECTORAL_ONLY,B,,2026-08-19T17:00:02.549572,"[42, 123, 456, 789, 2026]",11.141436516657166,16.733705678976346,6.014461753933178,10.676142117061975,region,5
neural_B_MLPSklearn_ROSSTAT_ONLY_B_20260819_170010,neural_B,MLPSklearn,ROSSTAT_ONLY,B,,2026-08-19T17:00:10.947811,"[42, 123, 456, 789, 2026]",11.99480815126271,21.12602600146875,6.662670240023635,8.195728212295743,region,5
neural_B_MLPTorch_ROSSTAT_ONLY_B_20260819_170017,neural_B,MLPTorch,ROSSTAT_ONLY,B,,2026-08-19T17:00:17.293796,"[42, 123, 456, 789, 2026]",12.395096467329088,21.097909628066127,7.213720183300569,8.873659590620564,region,5
neural_B_MLPSklearn_ALL_FEATURES_B_20260819_190923,neural_B,MLPSklearn,ALL_FEATURES,B,,2026-08-19T19:09:23.504881,"[42, 123, 456, 789, 2026]",10.316915244654624,15.582030186735768,8.370608574669347,6.998106972558754,region,5
neural_B_MLPTorch_ALL_FEATURES_B_20260819_190927,neural_B,MLPTorch,ALL_FEATURES,B,,2026-08-19T19:09:27.927138,"[42, 123, 456, 789, 2026]",8.442194187188575,8.540613412565468,10.060644550081713,6.725324598918543,region,5
neural_B_MLPSklearn_ALL_FEATURES_B_20260820_115656,neural_B,MLPSklearn,ALL_FEATURES,B,,2026-08-20T11:56:56.201902,"[42, 123, 456, 789, 2026]",9.003977643963792,12.643622101810447,9.921403199257819,4.446907630823109,region,5
neural_B_MLPTorch_ALL_FEATURES_B_20260820_115720,neural_B,MLPTorch,ALL_FEATURES,B,,2026-08-20T11:57:20.439578,"[42, 123, 456, 789, 2026]",9.387165629344421,13.65314161270274,10.739415845051761,3.7689394302787655,region,5
neural_B_MLPSklearn_ELECTORAL_ONLY_B_20260820_122314,neural_B,MLPSklearn,ELECTORAL_ONLY,B,,2026-08-20T12:23:14.278845,"[42, 123, 456, 789, 2026]",11.261216748618109,15.807239878044888,13.729972309665158,4.246438058144283,region,5
neural_B_MLPTorch_ELECTORAL_ONLY_B_20260820_122337,neural_B,MLPTorch,ELECTORAL_ONLY,B,,2026-08-20T12:23:37.284720,"[42, 123, 456, 789, 2026]",8.692519676600945,13.637354256482046,9.889163755163892,2.551041018156897,region,5
neural_B_MLPSklearn_ROSSTAT_ONLY_B_20260820_122742,neural_B,MLPSklearn,ROSSTAT_ONLY,B,,2026-08-20T12:27:42.411004,"[42, 123, 456, 789, 2026]",8.905347016535812,14.356647577049296,8.339405605793958,4.019987866764177,region,5
neural_B_MLPTorch_ROSSTAT_ONLY_B_20260820_122808,neural_B,MLPTorch,ROSSTAT_ONLY,B,,2026-08-20T12:28:08.688728,"[42, 123, 456, 789, 2026]",9.075359673273951,12.43119086496463,9.189102870030695,5.605785284826526,region,5
neural_B_MLPSklearn_ALL_FEATURES_B_20260820_130656,neural_B,MLPSklearn,ALL_FEATURES,B,,2026-08-20T13:06:56.031198,"[42, 123, 456, 789, 2026]",9.003977643963792,12.643622101810447,9.921403199257819,4.446907630823109,region,5
neural_B_MLPTorch_ALL_FEATURES_B_20260820_130739,neural_B,MLPTorch,ALL_FEATURES,B,,2026-08-20T13:07:39.390207,"[42, 123, 456, 789, 2026]",9.387165629344421,13.65314161270274,10.739415845051761,3.7689394302787655,region,5
