experiment_id,experiment_name,model,feature_group,split,seed,timestamp,hp_seeds,metric_mae,metric_UR_share_mae,metric_KPRF_share_mae,metric_LDPR_share_mae,tag_level,tag_n_seeds
temporal_A_GRU_ALL_FEATURES_A_20260819_171747,temporal_A,GRU,ALL_FEATURES,A,,2026-08-19T17:17:47.623297,"[42, 123, 456, 789, 2026]",6.875077946980794,10.999953842163086,6.688069534301758,2.937210464477539,region,5
temporal_A_LSTM_ALL_FEATURES_A_20260819_171752,temporal_A,LSTM,ALL_FEATURES,A,,2026-08-19T17:17:52.275358,"[42, 123, 456, 789, 2026]",11.25514849026998,19.955905532836915,10.56399917602539,3.2455407619476317,region,5
temporal_A_Transformer_ALL_FEATURES_A_20260819_171756,temporal_A,Transformer,ALL_FEATURES,A,,2026-08-19T17:17:56.977015,"[42, 123, 456, 789, 2026]",6.2006628195444735,8.78541145324707,5.831009006500244,3.9855679988861086,region,5
temporal_A_GRU_ELECTORAL_ONLY_A_20260819_171800,temporal_A,GRU,ELECTORAL_ONLY,A,,2026-08-19T17:18:00.913714,"[42, 123, 456, 789, 2026]",11.65945242245992,19.4961856842041,11.917302751541138,3.5648688316345214,region,5
temporal_A_LSTM_ELECTORAL_ONLY_A_20260819_171805,temporal_A,LSTM,ELECTORAL_ONLY,A,,2026-08-19T17:18:05.188904,"[42, 123, 456, 789, 2026]",10.683951091766358,17.710412216186523,10.316088962554932,4.025352096557617,region,5
temporal_A_Transformer_ELECTORAL_ONLY_A_20260819_171810,temporal_A,Transformer,ELECTORAL_ONLY,A,,2026-08-19T17:18:10.169806,"[42, 123, 456, 789, 2026]",10.863336849212645,20.109090042114257,4.310507488250733,8.17041301727295,region,5
temporal_A_GRU_ROSSTAT_ONLY_A_20260819_171813,temporal_A,GRU,ROSSTAT_ONLY,A,,2026-08-19T17:18:13.741678,"[42, 123, 456, 789, 2026]",10.612960751851398,18.52822036743164,9.49682159423828,3.8138402938842773,region,5
temporal_A_LSTM_ROSSTAT_ONLY_A_20260819_171817,temporal_A,LSTM,ROSSTAT_ONLY,A,,2026-08-19T17:18:17.972266,"[42, 123, 456, 789, 2026]",14.210596640904745,25.802817153930665,12.08083381652832,4.748138952255249,region,5
temporal_A_Transformer_ROSSTAT_ONLY_A_20260819_171823,temporal_A,Transformer,ROSSTAT_ONLY,A,,2026-08-19T17:18:23.153767,"[42, 123, 456, 789, 2026]",7.034800799687704,10.706859588623047,7.0478509902954105,3.3496918201446535,region,5
temporal_A_GRU_ALL_FEATURES_A_20260820_114240,temporal_A,GRU,ALL_FEATURES,A,,2026-08-20T11:42:40.781432,"[42, 123, 456, 789, 2026]",5.005628140767415,6.518786334991455,5.688869762420654,2.8092283248901366,region,5
temporal_A_LSTM_ALL_FEATURES_A_20260820_114301,temporal_A,LSTM,ALL_FEATURES,A,,2026-08-20T11:43:01.658278,"[42, 123, 456, 789, 2026]",5.107114489873251,6.755074787139892,5.68776912689209,2.8784995555877684,region,5
temporal_A_Transformer_ALL_FEATURES_A_20260820_114358,temporal_A,Transformer,ALL_FEATURES,A,,2026-08-20T11:43:58.551180,"[42, 123, 456, 789, 2026]",5.334043248494466,7.367495727539063,5.800914287567139,2.8337197303771973,region,5
temporal_A_GRU_ELECTORAL_ONLY_A_20260820_122834,temporal_A,GRU,ELECTORAL_ONLY,A,,2026-08-20T12:28:34.337626,"[42, 123, 456, 789, 2026]",5.065865373611451,6.470649909973145,5.89527587890625,2.831670331954956,region,5
temporal_A_LSTM_ELECTORAL_ONLY_A_20260820_122854,temporal_A,LSTM,ELECTORAL_ONLY,A,,2026-08-20T12:28:54.760058,"[42, 123, 456, 789, 2026]",5.0008151213328045,6.202102184295654,5.896981525421142,2.9033616542816163,region,5
temporal_A_Transformer_ELECTORAL_ONLY_A_20260820_123016,temporal_A,Transformer,ELECTORAL_ONLY,A,,2026-08-20T12:30:16.495295,"[42, 123, 456, 789, 2026]",5.1859578609466555,7.270645523071289,5.503276920318603,2.7839511394500733,region,5
temporal_A_GRU_ROSSTAT_ONLY_A_20260820_123059,temporal_A,GRU,ROSSTAT_ONLY,A,,2026-08-20T12:30:59.150677,"[42, 123, 456, 789, 2026]",5.21728728612264,7.2443266868591305,5.5223287582397464,2.885206413269043,region,5
temporal_A_LSTM_ROSSTAT_ONLY_A_20260820_123138,temporal_A,LSTM,ROSSTAT_ONLY,A,,2026-08-20T12:31:38.265370,"[42, 123, 456, 789, 2026]",5.189406681060791,7.124961566925049,5.6053262710571286,2.8379322052001954,region,5
temporal_A_Transformer_ROSSTAT_ONLY_A_20260820_123324,temporal_A,Transformer,ROSSTAT_ONLY,A,,2026-08-20T12:33:24.557813,"[42, 123, 456, 789, 2026]",5.251703453063965,7.1555379867553714,5.690841579437256,2.9087307929992674,region,5
temporal_A_GRU_ALL_FEATURES_A_20260820_130823,temporal_A,GRU,ALL_FEATURES,A,,2026-08-20T13:08:23.406271,"[42, 123, 456, 789, 2026]",5.005628140767415,6.518786334991455,5.688869762420654,2.8092283248901366,region,5
temporal_A_LSTM_ALL_FEATURES_A_20260820_130858,temporal_A,LSTM,ALL_FEATURES,A,,2026-08-20T13:08:58.678984,"[42, 123, 456, 789, 2026]",5.107114489873251,6.755074787139892,5.68776912689209,2.8784995555877684,region,5
temporal_A_Transformer_ALL_FEATURES_A_20260820_131039,temporal_A,Transformer,ALL_FEATURES,A,,2026-08-20T13:10:39.476858,"[42, 123, 456, 789, 2026]",5.334043248494466,7.367495727539063,5.800914287567139,2.8337197303771973,region,5
