experiment_id,experiment_name,model,feature_group,split,seed,timestamp,hp_seeds,metric_mae,metric_UR_share_mae,metric_KPRF_share_mae,metric_LDPR_share_mae,tag_level,tag_n_seeds
temporal_B_GRU_ALL_FEATURES_B_20260819_171832,temporal_B,GRU,ALL_FEATURES,B,,2026-08-19T17:18:32.622147,"[42, 123, 456, 789, 2026]",7.599879995981852,7.229204559326172,7.605961513519287,7.964473915100098,region,5
temporal_B_LSTM_ALL_FEATURES_B_20260819_171839,temporal_B,LSTM,ALL_FEATURES,B,,2026-08-19T17:18:39.591252,"[42, 123, 456, 789, 2026]",8.095379543304444,8.52006721496582,8.466550922393798,7.299520492553711,region,5
temporal_B_Transformer_ALL_FEATURES_B_20260819_171847,temporal_B,Transformer,ALL_FEATURES,B,,2026-08-19T17:18:47.042731,"[42, 123, 456, 789, 2026]",6.703892580668132,7.1128997802734375,5.576491451263427,7.422286510467529,region,5
temporal_B_GRU_ELECTORAL_ONLY_B_20260819_171853,temporal_B,GRU,ELECTORAL_ONLY,B,,2026-08-19T17:18:53.240216,"[42, 123, 456, 789, 2026]",6.522049840291341,6.52287483215332,5.025890159606933,8.01738452911377,region,5
temporal_B_LSTM_ELECTORAL_ONLY_B_20260819_171900,temporal_B,LSTM,ELECTORAL_ONLY,B,,2026-08-19T17:19:00.166703,"[42, 123, 456, 789, 2026]",7.034766292572022,6.810857772827148,6.515101528167724,7.778339576721192,region,5
temporal_B_Transformer_ELECTORAL_ONLY_B_20260819_171909,temporal_B,Transformer,ELECTORAL_ONLY,B,,2026-08-19T17:19:09.451661,"[42, 123, 456, 789, 2026]",7.925478426615396,12.948908615112305,6.6184111595153805,4.209115505218506,region,5
temporal_B_GRU_ROSSTAT_ONLY_B_20260819_171914,temporal_B,GRU,ROSSTAT_ONLY,B,,2026-08-19T17:19:14.583182,"[42, 123, 456, 789, 2026]",10.083831183115642,12.71314811706543,10.881082725524902,6.657262706756592,region,5
temporal_B_LSTM_ROSSTAT_ONLY_B_20260819_171920,temporal_B,LSTM,ROSSTAT_ONLY,B,,2026-08-19T17:19:20.805707,"[42, 123, 456, 789, 2026]",9.680585225423178,12.022467613220215,10.326713371276856,6.692574691772461,region,5
temporal_B_Transformer_ROSSTAT_ONLY_B_20260819_171931,temporal_B,Transformer,ROSSTAT_ONLY,B,,2026-08-19T17:19:31.569591,"[42, 123, 456, 789, 2026]",8.990311654408773,9.703010749816894,9.208090591430665,8.05983362197876,region,5
temporal_B_GRU_ALL_FEATURES_B_20260820_114429,temporal_B,GRU,ALL_FEATURES,B,,2026-08-20T11:44:29.510363,"[42, 123, 456, 789, 2026]",6.979173851013184,7.288242244720459,7.009217357635498,6.640061950683593,region,5
temporal_B_LSTM_ALL_FEATURES_B_20260820_114457,temporal_B,LSTM,ALL_FEATURES,B,,2026-08-20T11:44:57.137994,"[42, 123, 456, 789, 2026]",6.896134122212728,7.060906028747558,6.979347991943359,6.6481483459472654,region,5
temporal_B_Transformer_ALL_FEATURES_B_20260820_114734,temporal_B,Transformer,ALL_FEATURES,B,,2026-08-20T11:47:34.826402,"[42, 123, 456, 789, 2026]",6.972541364034018,7.08575325012207,7.066726398468018,6.7651444435119625,region,5
temporal_B_GRU_ELECTORAL_ONLY_B_20260820_123404,temporal_B,GRU,ELECTORAL_ONLY,B,,2026-08-20T12:34:04.132149,"[42, 123, 456, 789, 2026]",7.052608140309651,7.39367094039917,7.043814086914063,6.720339393615722,region,5
temporal_B_LSTM_ELECTORAL_ONLY_B_20260820_123446,temporal_B,LSTM,ELECTORAL_ONLY,B,,2026-08-20T12:34:46.996544,"[42, 123, 456, 789, 2026]",7.124417018890381,7.483814716339111,7.116778755187989,6.772657585144043,region,5
temporal_B_Transformer_ELECTORAL_ONLY_B_20260820_123720,temporal_B,Transformer,ELECTORAL_ONLY,B,,2026-08-20T12:37:20.863454,"[42, 123, 456, 789, 2026]",7.053880055745442,7.12619047164917,7.14141321182251,6.894036483764649,region,5
temporal_B_GRU_ROSSTAT_ONLY_B_20260820_123753,temporal_B,GRU,ROSSTAT_ONLY,B,,2026-08-20T12:37:53.135374,"[42, 123, 456, 789, 2026]",7.663089434305827,9.397015190124511,6.6720044136047365,6.920248699188233,region,5
temporal_B_LSTM_ROSSTAT_ONLY_B_20260820_123832,temporal_B,LSTM,ROSSTAT_ONLY,B,,2026-08-20T12:38:32.099606,"[42, 123, 456, 789, 2026]",6.959219487508139,7.138298606872558,7.1398519515991214,6.599507904052734,region,5
temporal_B_Transformer_ROSSTAT_ONLY_B_20260820_124034,temporal_B,Transformer,ROSSTAT_ONLY,B,,2026-08-20T12:40:34.091643,"[42, 123, 456, 789, 2026]",7.0137951215108245,7.269790554046631,7.0211996078491214,6.750395202636719,region,5
temporal_B_GRU_ALL_FEATURES_B_20260820_131128,temporal_B,GRU,ALL_FEATURES,B,,2026-08-20T13:11:28.711006,"[42, 123, 456, 789, 2026]",6.979173851013184,7.288242244720459,7.009217357635498,6.640061950683593,region,5
temporal_B_LSTM_ALL_FEATURES_B_20260820_131212,temporal_B,LSTM,ALL_FEATURES,B,,2026-08-20T13:12:12.786180,"[42, 123, 456, 789, 2026]",6.896134122212728,7.060906028747558,6.979347991943359,6.6481483459472654,region,5
temporal_B_Transformer_ALL_FEATURES_B_20260820_131639,temporal_B,Transformer,ALL_FEATURES,B,,2026-08-20T13:16:39.845099,"[42, 123, 456, 789, 2026]",6.972541364034018,7.08575325012207,7.066726398468018,6.7651444435119625,region,5
