model,experiment,feature_group,mae
NaivePreviousElection,A,ELECTORAL_ONLY,5.18356074133319
NaivePreviousElection,A,ROSSTAT_ONLY,5.18356074133319
NaivePreviousElection,A,ALL_FEATURES,5.18356074133319
XGBoost,A,ELECTORAL_ONLY,6.193576577533452
XGBoost,A,ROSSTAT_ONLY,5.370421171706451
XGBoost,A,ALL_FEATURES,4.48631529181548
CatBoost,A,ELECTORAL_ONLY,5.999128578098997
CatBoost,A,ROSSTAT_ONLY,5.2060107059854
CatBoost,A,ALL_FEATURES,5.294260026764871
RandomForest,A,ELECTORAL_ONLY,6.215030293904515
RandomForest,A,ROSSTAT_ONLY,5.821439245948117
RandomForest,A,ALL_FEATURES,5.56558859899723
LinearRegression,A,ELECTORAL_ONLY,10.965598487434841
LinearRegression,A,ROSSTAT_ONLY,9.185044425690993
LinearRegression,A,ALL_FEATURES,11.369259453292562
GRU,A,ELECTORAL_ONLY,11.65945242245992
GRU,A,ROSSTAT_ONLY,10.6129607518514
GRU,A,ALL_FEATURES,6.875077946980793
LSTM,A,ELECTORAL_ONLY,10.683951091766357
LSTM,A,ROSSTAT_ONLY,14.210596640904745
LSTM,A,ALL_FEATURES,11.25514849026998
Transformer,A,ELECTORAL_ONLY,10.863336849212647
Transformer,A,ROSSTAT_ONLY,7.034800799687704
Transformer,A,ALL_FEATURES,6.200662819544474
NaivePreviousElection,B,ELECTORAL_ONLY,6.936460756501128
NaivePreviousElection,B,ROSSTAT_ONLY,6.936460756501128
NaivePreviousElection,B,ALL_FEATURES,6.936460756501128
XGBoost,B,ELECTORAL_ONLY,6.848676305574609
XGBoost,B,ROSSTAT_ONLY,7.054685807306956
XGBoost,B,ALL_FEATURES,6.743953041632479
CatBoost,B,ELECTORAL_ONLY,6.165266610064204
CatBoost,B,ROSSTAT_ONLY,7.341997987069605
CatBoost,B,ALL_FEATURES,6.294641368798174
RandomForest,B,ELECTORAL_ONLY,7.148457407271611
RandomForest,B,ROSSTAT_ONLY,8.573905706146823
RandomForest,B,ALL_FEATURES,7.221117265218871
LinearRegression,B,ELECTORAL_ONLY,6.829703041830409
LinearRegression,B,ROSSTAT_ONLY,8.139343484931018
LinearRegression,B,ALL_FEATURES,7.06977122078906
GRU,B,ELECTORAL_ONLY,6.522049840291342
GRU,B,ROSSTAT_ONLY,10.083831183115642
GRU,B,ALL_FEATURES,7.599879995981853
LSTM,B,ELECTORAL_ONLY,7.034766292572021
LSTM,B,ROSSTAT_ONLY,9.680585225423178
LSTM,B,ALL_FEATURES,8.095379543304443
Transformer,B,ELECTORAL_ONLY,7.925478426615396
Transformer,B,ROSSTAT_ONLY,8.990311654408773
Transformer,B,ALL_FEATURES,6.70389258066813
