model,experiment,depth,n_train_years,train_years,mae
NaivePreviousElection,A,1,1,[2011],5.18356074133319
NaivePreviousElection,A,2,2,"[2007, 2011]",5.18356074133319
NaivePreviousElection,A,3,3,"[2003, 2007, 2011]",5.18356074133319
XGBoost,A,1,1,[2011],5.498009176705607
XGBoost,A,2,2,"[2007, 2011]",5.172126365781966
XGBoost,A,3,3,"[2003, 2007, 2011]",4.48631529181548
CatBoost,A,1,1,[2011],5.660190860991082
CatBoost,A,2,2,"[2007, 2011]",5.052465584640328
CatBoost,A,3,3,"[2003, 2007, 2011]",5.294260026764871
RandomForest,A,1,1,[2011],5.979751260953807
RandomForest,A,2,2,"[2007, 2011]",5.11885801208798
RandomForest,A,3,3,"[2003, 2007, 2011]",5.565588598997228
LinearRegression,A,1,1,[2011],10.996565577018698
LinearRegression,A,2,2,"[2007, 2011]",15.846009911274864
LinearRegression,A,3,3,"[2003, 2007, 2011]",11.369259453292562
GRU,A,1,1,[2011],
GRU,A,2,2,"[2007, 2011]",7.51518824895223
GRU,A,3,3,"[2003, 2007, 2011]",6.875077946980793
LSTM,A,1,1,[2011],
LSTM,A,2,2,"[2007, 2011]",7.376991971333821
LSTM,A,3,3,"[2003, 2007, 2011]",11.25514849026998
Transformer,A,1,1,[2011],
Transformer,A,2,2,"[2007, 2011]",7.033589013417561
Transformer,A,3,3,"[2003, 2007, 2011]",6.200662819544474
NaivePreviousElection,B,1,1,[2016],6.936460756501128
NaivePreviousElection,B,2,2,"[2011, 2016]",6.936460756501128
NaivePreviousElection,B,3,3,"[2007, 2011, 2016]",6.936460756501128
NaivePreviousElection,B,4,4,"[2003, 2007, 2011, 2016]",6.936460756501128
XGBoost,B,1,1,[2016],8.152309423916137
XGBoost,B,2,2,"[2011, 2016]",6.7741448994720725
XGBoost,B,3,3,"[2007, 2011, 2016]",6.858674876913169
XGBoost,B,4,4,"[2003, 2007, 2011, 2016]",6.743953041632479
CatBoost,B,1,1,[2016],7.769683290770472
CatBoost,B,2,2,"[2011, 2016]",6.640264012719338
CatBoost,B,3,3,"[2007, 2011, 2016]",6.279999241791636
CatBoost,B,4,4,"[2003, 2007, 2011, 2016]",6.294641368798174
RandomForest,B,1,1,[2016],8.007187139447234
RandomForest,B,2,2,"[2011, 2016]",7.318102377500115
RandomForest,B,3,3,"[2007, 2011, 2016]",7.307128423288479
RandomForest,B,4,4,"[2003, 2007, 2011, 2016]",7.2211172652188695
LinearRegression,B,1,1,[2016],11.491336873788415
LinearRegression,B,2,2,"[2011, 2016]",9.92558439746135
LinearRegression,B,3,3,"[2007, 2011, 2016]",9.319191755975282
LinearRegression,B,4,4,"[2003, 2007, 2011, 2016]",7.06977122078906
GRU,B,1,1,[2016],
GRU,B,2,2,"[2011, 2016]",7.863877900441489
GRU,B,3,3,"[2007, 2011, 2016]",8.00236037572225
GRU,B,4,4,"[2003, 2007, 2011, 2016]",7.599879995981853
LSTM,B,1,1,[2016],
LSTM,B,2,2,"[2011, 2016]",7.751974423726399
LSTM,B,3,3,"[2007, 2011, 2016]",8.23822472890218
LSTM,B,4,4,"[2003, 2007, 2011, 2016]",8.095379543304443
Transformer,B,1,1,[2016],
Transformer,B,2,2,"[2011, 2016]",7.311329936981201
Transformer,B,3,3,"[2007, 2011, 2016]",8.04813585281372
Transformer,B,4,4,"[2003, 2007, 2011, 2016]",6.70389258066813
