Model,Class,A_MAE,B_MAE,Mean_MAE
CatBoost,tree,5.294260026764871,6.294641368798172,5.794450697781521
ElasticNet,linear,10.34872123754686,6.754044898806572,8.551383068176715
GRU,temporal,6.875077946980794,7.599879995981852,7.237478971481323
HistGradientBoosting,tree,6.809707644442928,8.05368400070986,7.431695822576394
HistoricalMean,baseline,4.977786424170807,6.210089367185009,5.593937895677907
KNN,tree,6.2491436992090925,7.706729260916258,6.9779364800626755
LSTM,temporal,11.25514849026998,8.095379543304444,9.675264016787212
LinearRegression,linear,11.369259453292562,7.06977122078906,9.21951533704081
MLPSklearn,neural,12.709234815383398,10.316915244654624,11.51307503001901
MLPTorch,neural,11.810198031690986,8.442194187188575,10.12619610943978
NaivePreviousElection,baseline,5.183560741333189,6.936460756501128,6.060010748917158
RandomForest,tree,5.565588598997228,7.221117265218869,6.393352932108048
Ridge,linear,10.793904852024612,7.069702335783068,8.93180359390384
StackingEnsemble,other,7.111889098700254,7.4727922062289664,7.29234065246461
Transformer,temporal,6.2006628195444735,6.703892580668132,6.452277700106302
WeightedEnsemble,other,6.257714910152484,7.440993795822137,6.84935435298731
WeightedHistoricalMean,baseline,4.44343141480715,6.676116427030838,5.559773920918994
XGBoost,tree,4.4863152918154805,6.743953041632479,5.61513416672398
