Model,UR,KPRF,LDPR,Mean_MAE
WeightedHistoricalMean,7.125,5.768,3.786,5.56
HistoricalMean,7.245,5.502,4.035,5.594
XGBoost,7.194,5.608,4.044,5.615
CatBoost,7.966,5.356,4.061,5.794
NaivePreviousElection,7.112,6.317,4.75,6.06
RandomForest,7.808,6.267,5.105,6.393
Transformer,7.949,5.704,5.704,6.452
WeightedEnsemble,7.489,8.121,4.938,6.849
KNN,8.323,7.343,5.268,6.978
GRU,9.115,7.147,5.451,7.237
StackingEnsemble,7.843,8.921,5.113,7.292
HistGradientBoosting,9.215,7.267,5.813,7.432
ElasticNet,9.612,10.996,5.046,8.551
Ridge,9.809,11.951,5.035,8.932
LinearRegression,10.119,12.498,5.042,9.22
LSTM,14.238,9.515,5.273,9.675
MLPTorch,12.407,13.177,4.795,10.126
MLPSklearn,17.087,11.044,6.408,11.513
