Model,Experiment,UR,KPRF,LDPR,Mean_MAE
NaivePreviousElection,A,7.162179938486151,5.515716675496338,2.8727856100170808,5.18356074133319
HistoricalMean,A,6.229536495513348,3.7031154425078596,5.000707334491213,4.977786424170806
WeightedHistoricalMean,A,6.017715675144334,3.0706131093729256,4.241965459904189,4.44343141480715
NaivePreviousElection,B,7.0623900434697084,7.11896052321385,6.628031702819826,6.936460756501128
HistoricalMean,B,8.25969396629659,7.300897616041313,3.0696765192171225,6.210089367185009
WeightedHistoricalMean,B,8.232861924888107,8.46497770532453,3.3305096508798755,6.676116427030838
StackingEnsemble,A,7.224054957087668,10.042149020842032,4.069463318171061,7.111889098700253
WeightedEnsemble,A,6.8427226381862845,8.574241353793166,3.3561807384780042,6.257714910152484
StackingEnsemble,B,8.461592676279276,7.79957885278437,6.157205089623255,7.4727922062289664
WeightedEnsemble,B,8.135476018508514,7.668033396641493,6.519471972316402,7.440993795822137
KNN,A,8.338867582989112,6.930913437446152,3.4776500771920134,6.2491436992090925
KNN,B,8.307091391653694,7.754652513658149,7.058443877436927,7.706729260916258
LinearRegression,A,13.11875340341944,18.504934564457685,2.4840903920005566,11.369259453292562
Ridge,A,12.43177933722991,17.470273624855952,2.4796615939879736,10.79390485202461
ElasticNet,A,12.364490765474578,16.214832659240983,2.4668402879250166,10.34872123754686
LinearRegression,B,7.119399216097357,6.490721098466136,7.599193347803688,7.06977122078906
Ridge,B,7.186341842912473,6.431637928784595,7.591127235652135,7.0697023357830675
ElasticNet,B,6.859291725139289,5.777640894911696,7.625202076368729,6.754044898806572
MLPSklearn,A,18.59143047642185,13.718196391684092,5.818077578044255,12.709234815383397
MLPTorch,A,16.272752072423955,16.29328758622388,2.8645544364251228,11.810198031690987
MLPSklearn,B,15.582030186735768,8.370608574669347,6.998106972558754,10.316915244654624
MLPTorch,B,8.540613412565468,10.060644550081713,6.725324598918543,8.442194187188575
GRU,A,10.999953842163086,6.688069534301758,2.937210464477539,6.875077946980794
LSTM,A,19.955905532836915,10.56399917602539,3.2455407619476317,11.25514849026998
Transformer,A,8.78541145324707,5.831009006500244,3.9855679988861086,6.2006628195444735
GRU,B,7.229204559326172,7.605961513519287,7.964473915100098,7.599879995981852
LSTM,B,8.52006721496582,8.466550922393798,7.299520492553711,8.095379543304444
Transformer,B,7.1128997802734375,5.576491451263427,7.422286510467529,6.703892580668132
RandomForest,A,7.412314704116885,5.364080258381701,3.920370834493098,5.565588598997228
HistGradientBoosting,A,10.186215462031283,5.92475640487899,4.318151066418509,6.809707644442927
XGBoost,A,6.211371456966501,3.395933389415059,3.85164102906488,4.48631529181548
CatBoost,A,8.294402467427624,3.535729651467462,4.0526479613995265,5.294260026764871
RandomForest,B,8.204541153009083,7.169083167695054,6.289727474952469,7.2211172652188695
HistGradientBoosting,B,8.242851310383992,8.609887309807023,7.3083133819385635,8.05368400070986
XGBoost,B,8.175972330598109,7.819340340653376,4.2365464536459525,6.743953041632479
CatBoost,B,7.6377769682677625,7.1765445050442995,4.069602633082456,6.294641368798174
