region_name,Experiment,region_mae,region_bias
Алтайский край,A,9.361,4.285
Алтайский край,B,11.276,0.898
Амурская область,A,9.885,-0.077
Амурская область,B,9.963,2.487
Архангельская область,A,8.574,2.974
Архангельская область,B,8.48,5.544
Астраханская область,A,5.495,1.821
Астраханская область,B,5.078,1.35
Белгородская область,A,4.832,0.759
Белгородская область,B,4.443,2.159
Брянская область,A,9.449,-1.571
Брянская область,B,3.574,1.082
Владимирская область,A,7.778,2.278
Владимирская область,B,9.35,1.475
Волгоградская область,A,5.576,-0.114
Волгоградская область,B,1.856,-0.56
Вологодская область,A,8.701,2.941
Вологодская область,B,8.788,3.827
Воронежская область,A,7.153,-0.537
Воронежская область,B,4.876,1.027
Еврейская автономная область,A,6.175,-2.067
Еврейская автономная область,B,5.307,-0.043
Забайкальский край,A,8.327,-0.776
Забайкальский край,B,6.87,3.166
Ивановская область,A,6.369,1.9
Ивановская область,B,9.401,1.215
Иркутская область,A,8.256,1.501
Иркутская область,B,9.14,2.078
Кабардино-Балкарская Республика,A,3.488,1.823
Кабардино-Балкарская Республика,B,3.334,-0.001
Калининградская область,A,6.763,3.214
Калининградская область,B,6.24,2.188
Калужская область,A,5.446,1.23
Калужская область,B,9.048,4.175
Камчатский край,A,7.799,2.091
Камчатский край,B,10.747,4.688
Карачаево-Черкесская Республика,A,4.347,4.249
Карачаево-Черкесская Республика,B,3.314,0.014
Кемеровская область - Кузбасс,A,6.9,-0.593
Кемеровская область - Кузбасс,B,4.599,0.282
Кировская область,A,10.779,2.437
Кировская область,B,9.145,6.219
Костромская область,A,9.529,4.09
Костромская область,B,11.02,3.301
Краснодарский край,A,8.298,-1.581
Краснодарский край,B,3.77,1.492
Красноярский край,A,8.474,2.691
Красноярский край,B,7.559,1.831
Курганская область,A,6.694,2.529
Курганская область,B,8.304,1.965
Курская область,A,6.655,0.708
Курская область,B,4.887,1.883
Ленинградская область,A,6.228,2.049
Ленинградская область,B,5.494,1.322
Липецкая область,A,6.845,0.83
Липецкая область,B,5.328,1.703
Магаданская область,A,8.645,5.364
Магаданская область,B,7.18,1.399
Московская область,A,8.612,4.584
Московская область,B,5.658,1.394
Мурманская область,A,9.414,4.76
Мурманская область,B,7.822,4.314
Ненецкий автономный округ,A,15.042,7.7
Ненецкий автономный округ,B,12.925,2.694
Нижегородская область,A,9.44,0.88
Нижегородская область,B,5.31,0.939
Новгородская область,A,7.225,3.865
Новгородская область,B,8.774,4.72
Новосибирская область,A,8.967,2.665
Новосибирская область,B,8.798,2.277
Омская область,A,7.114,1.74
Омская область,B,11.258,1.938
Оренбургская область,A,9.266,1.281
Оренбургская область,B,9.206,2.256
Орловская область,A,6.983,3.284
Орловская область,B,7.223,3.07
Пензенская область,A,8.523,-1.988
Пензенская область,B,4.888,1.039
Пермский край,A,7.042,3.057
Пермский край,B,8.582,2.962
Приморский край,A,8.086,2.61
Приморский край,B,10.266,1.699
Псковская область,A,7.34,4.185
Псковская область,B,7.017,3.243
