region_name,Experiment,Model,region_mae,region_bias
Алтайский край,A,NaivePreviousElection,4.236297322993394,1.9304139291759483
Амурская область,A,NaivePreviousElection,5.442740518185822,-0.15240686955212132
Архангельская область,A,NaivePreviousElection,7.362032674327622,-2.3835990040797452
Астраханская область,A,NaivePreviousElection,7.953191388239947,3.8280497475266118
Белгородская область,A,NaivePreviousElection,5.11471233067009,-0.029595200021850825
Брянская область,A,NaivePreviousElection,8.07497025864798,-1.2850922231972988
Владимирская область,A,NaivePreviousElection,6.939917517656066,-1.7363792117505294
Волгоградская область,A,NaivePreviousElection,8.818449351205201,-3.5763594970431636
Вологодская область,A,NaivePreviousElection,4.363787100928984,-2.427610896287231
Воронежская область,A,NaivePreviousElection,5.261021634419459,-1.023671916415158
Еврейская автономная область,A,NaivePreviousElection,3.9385828387693764,-0.4452311388713248
Забайкальский край,A,NaivePreviousElection,4.381129861670452,-0.7481495729193904
Ивановская область,A,NaivePreviousElection,3.257910449467186,-0.26790128969858645
Иркутская область,A,NaivePreviousElection,3.0172503919971505,-0.4742433037245786
Кабардино-Балкарская Республика,A,NaivePreviousElection,1.852914414267034,0.9626893000240712
Калининградская область,A,NaivePreviousElection,7.139107177468176,0.5389893194972727
Калужская область,A,NaivePreviousElection,4.888071269084615,-0.8806554718771652
Камчатский край,A,NaivePreviousElection,3.1896443857358636,-0.2427514878678109
Карачаево-Черкесская Республика,A,NaivePreviousElection,3.1393894087303984,2.8945547621045136
Кемеровская область - Кузбасс,A,NaivePreviousElection,6.8786744485298,-1.411352793263051
Кировская область,A,NaivePreviousElection,7.081867250765939,-1.0244532913541444
Костромская область,A,NaivePreviousElection,5.501470018191902,-0.5440933683547549
Краснодарский край,A,NaivePreviousElection,3.8120214249804474,-0.45799598619330517
Красноярский край,A,NaivePreviousElection,5.677234118933497,0.44821191479164096
Курганская область,A,NaivePreviousElection,3.3220918515328814,1.9727877434168324
Курская область,A,NaivePreviousElection,5.600511301570762,-0.34746547990211657
Ленинградская область,A,NaivePreviousElection,8.828132961641309,-2.9622117850191945
Липецкая область,A,NaivePreviousElection,9.306920120598532,-1.6456133123317447
Магаданская область,A,NaivePreviousElection,4.68003812180384,0.5679114456406348
