Model,Experiment,seeds_used,seed_mae_list,mean_mae,std_mae,min_mae,max_mae,range_pp
MLPSklearn,A,5,"[7.775, 8.077, 7.796, 8.761, 9.684]",8.419,0.726,7.775,9.684,1.909
MLPTorch,A,5,"[12.255, 11.858, 11.596, 15.45, 12.884]",12.809,1.39,11.596,15.45,3.854
GRU,A,5,"[7.658, 7.845, 6.341, 6.608, 5.923]",6.875,0.75,5.923,7.845,1.921
LSTM,A,5,"[13.046, 12.153, 10.231, 10.805, 10.041]",11.255,1.161,10.041,13.046,3.005
Transformer,A,5,"[6.833, 6.551, 5.93, 6.062, 5.628]",6.201,0.434,5.628,6.833,1.205
MLPSklearn,B,5,"[11.91, 11.735, 14.672, 12.453, 9.983]",12.151,1.508,9.983,14.672,4.689
MLPTorch,B,5,"[12.491, 11.594, 11.471, 12.919, 13.627]",12.42,0.812,11.471,13.627,2.156
GRU,B,5,"[7.954, 7.743, 7.693, 7.38, 7.23]",7.6,0.261,7.23,7.954,0.724
LSTM,B,5,"[8.196, 8.059, 7.568, 7.541, 9.113]",8.095,0.571,7.541,9.113,1.572
Transformer,B,5,"[7.676, 6.191, 6.592, 6.218, 6.843]",6.704,0.543,6.191,7.676,1.486
