model,experiment,feature_group,level,train_metrics,test_metrics,train_federal,test_federal,test_error_distribution,n_train,n_test,feature_columns,target_columns
RandomForest,B,ALL_FEATURES,region,"[{'mae': 13.254945560723911, 'rmse': 14.821713873906463, 'r2': 0.1856309220406751, 'bias': 13.192660623800764, 'pearson_r': 0.9346313277758728, 'spearman_r': 0.8965300247286196, 'party': 'UR_share', 'n_samples': 332}, {'mae': 4.486481437723683, 'rmse': 5.106493129370915, 'r2': 0.23123661608410473, 'bias': 4.423244906226376, 'pearson_r': 0.9210364016173136, 'spearman_r': 0.901419018115411, 'party': 'KPRF_share', 'n_samples': 332}, {'mae': 3.910243741202695, 'rmse': 4.6057267731362765, 'r2': 0.3037145351646523, 'bias': 3.9047442835360813, 'pearson_r': 0.9472841845846536, 'spearman_r': 0.93650965419611, 'party': 'LDPR_share', 'n_samples': 332}]","[{'mae': 16.466005357991406, 'rmse': 18.61867282709301, 'r2': -0.36355026844758287, 'bias': 16.383685303152777, 'pearson_r': 0.9070335892639936, 'spearman_r': 0.7953906217203307, 'party': 'UR_share', 'n_samples': 83}, {'mae': 4.847728227939518, 'rmse': 6.2547459451237035, 'r2': 0.26322045133244665, 'bias': -3.1737331509780704, 'pearson_r': 0.7380033236687414, 'spearman_r': 0.5659082322320641, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 9.815145878266582, 'rmse': 10.59884588677647, 'r2': -8.597519695475269, 'bias': 9.815145878266582, 'pearson_r': 0.772756899968894, 'spearman_r': 0.7064354980899207, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': 16.383685303152777, 'std_error': 8.898531119917669, 'median_error': 18.204083734548327, 'q25': 7.574243846684901, 'q75': 23.746026959358787, 'min_error': -3.3479354496753047, 'max_error': 33.55195796849262, 'mae': 16.466005357991406, 'rmse': 18.61867282709301}, {'party': 'KPRF_share', 'mean_error': -3.1737331509780704, 'std_error': 5.422501641339709, 'median_error': -2.6118919949916375, 'q25': -7.16068819799337, 'q75': 0.9309607064514474, 'min_error': -17.12681393432533, 'max_error': 5.546377200383429, 'mae': 4.847728227939518, 'rmse': 6.2547459451237035}, {'party': 'LDPR_share', 'mean_error': 9.815145878266582, 'std_error': 4.0241208374166835, 'median_error': 10.57528177561915, 'q25': 8.361521076070913, 'q75': 12.510256996811258, 'min_error': 0.4087884345815751, 'max_error': 17.490843204093757, 'mae': 9.815145878266582, 'rmse': 10.59884588677647}]",332,83,"['GRP_per_capita_lag1', 'KPRF_share_lag1', 'LDPR_share_lag1', 'UR_share_lag1', 'age_working_share_lag1', 'average_salary_lag1', 'birth_rate_lag1', 'death_rate_lag1', 'doctors_per_1000_lag1', 'hospital_beds_per_1000_lag1', 'housing_area_per_capita_lag1', 'migration_rate_lag1', 'natural_population_growth_lag1', 'population_lag1', 'poverty_rate_lag1', 'real_disposable_income_lag1', 'turnout_rate', 'turnout_rate_lag1', 'unemployment_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
HistGradientBoosting,B,ALL_FEATURES,region,"[{'mae': 13.205473951106722, 'rmse': 14.82791256101412, 'r2': 0.18494961423374756, 'bias': 13.051474871630106, 'pearson_r': 0.9191265770714221, 'spearman_r': 0.8718417394572164, 'party': 'UR_share', 'n_samples': 332}, {'mae': 4.660328906822014, 'rmse': 5.475644338706808, 'r2': 0.11607045765500945, 'bias': 4.4162914558776345, 'pearson_r': 0.8733480305417546, 'spearman_r': 0.8482874094565573, 'party': 'KPRF_share', 'n_samples': 332}, {'mae': 4.131855743280352, 'rmse': 5.0327884798902955, 'r2': 0.16860320849449018, 'bias': 4.052883486055481, 'pearson_r': 0.9255528401658272, 'spearman_r': 0.9153022640082663, 'party': 'LDPR_share', 'n_samples': 332}]","[{'mae': 16.446121883410108, 'rmse': 18.74343594916783, 'r2': -0.3818857080487792, 'bias': 16.364468534997826, 'pearson_r': 0.8634287947471597, 'spearman_r': 0.7045464086310398, 'party': 'UR_share', 'n_samples': 83}, {'mae': 6.2922561643845984, 'rmse': 7.752779029115051, 'r2': -0.1319650695043182, 'bias': -4.820469355520268, 'pearson_r': 0.5587924683980039, 'spearman_r': 0.3305696654212669, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 11.537161024606627, 'rmse': 12.558166205622575, 'r2': -12.473930738659305, 'bias': 11.481098850963733, 'pearson_r': 0.7655670241666362, 'spearman_r': 0.7070861844590907, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': 16.364468534997826, 'std_error': 9.194514895924328, 'median_error': 18.46250583053196, 'q25': 8.098130298593443, 'q75': 23.48835210396483, 'min_error': -2.299185028621281, 'max_error': 35.11076872395191, 'mae': 16.446121883410108, 'rmse': 18.74343594916783}, {'party': 'KPRF_share', 'mean_error': -4.820469355520268, 'std_error': 6.108868606021843, 'median_error': -4.862507589884885, 'q25': -9.116232024561628, 'q75': 0.4321995090834889, 'min_error': -19.09551107291004, 'max_error': 6.134140667161269, 'mae': 6.2922561643845984, 'rmse': 7.752779029115051}, {'party': 'LDPR_share', 'mean_error': 11.481098850963733, 'std_error': 5.119342007860532, 'median_error': 12.487223487775642, 'q25': 9.643047708740356, 'q75': 15.22554082343455, 'min_error': -1.4694299862529485, 'max_error': 19.421003547520044, 'mae': 11.537161024606627, 'rmse': 12.558166205622575}]",332,83,"['GRP_per_capita_lag1', 'KPRF_share_lag1', 'LDPR_share_lag1', 'UR_share_lag1', 'age_working_share_lag1', 'average_salary_lag1', 'birth_rate_lag1', 'death_rate_lag1', 'doctors_per_1000_lag1', 'hospital_beds_per_1000_lag1', 'housing_area_per_capita_lag1', 'migration_rate_lag1', 'natural_population_growth_lag1', 'population_lag1', 'poverty_rate_lag1', 'real_disposable_income_lag1', 'turnout_rate', 'turnout_rate_lag1', 'unemployment_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
XGBoost,B,ALL_FEATURES,region,"[{'mae': 13.345052570149747, 'rmse': 14.733757253401938, 'r2': 0.19526767765622366, 'bias': 12.847235017741191, 'pearson_r': 0.9489359258861721, 'spearman_r': 0.9267411771688698, 'party': 'UR_share', 'n_samples': 332}, {'mae': 4.742327250507585, 'rmse': 5.65014443798675, 'r2': 0.0588338777841102, 'bias': 4.703675299372675, 'pearson_r': 0.9120591039087995, 'spearman_r': 0.887436739691681, 'party': 'KPRF_share', 'n_samples': 332}, {'mae': 4.267618121934599, 'rmse': 5.020119515896867, 'r2': 0.1727836658516222, 'bias': 3.969739875980138, 'pearson_r': 0.8334354787198334, 'spearman_r': 0.816920003030002, 'party': 'LDPR_share', 'n_samples': 332}]","[{'mae': 18.851007871459434, 'rmse': 21.392961253157925, 'r2': -0.8001782967429689, 'bias': 18.489693557722276, 'pearson_r': 0.8796923533628763, 'spearman_r': 0.6795474581251837, 'party': 'UR_share', 'n_samples': 83}, {'mae': 4.763537127233736, 'rmse': 6.220618628583917, 'r2': 0.27123859069836953, 'bias': -3.2231943524168183, 'pearson_r': 0.7222497096037441, 'spearman_r': 0.571827379203224, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 7.758598767685574, 'rmse': 8.145451952484535, 'r2': -4.668553239318712, 'bias': 7.758598767685574, 'pearson_r': 0.7246554417478691, 'spearman_r': 0.6510431971789596, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': 18.489693557722276, 'std_error': 10.825991722506044, 'median_error': 21.29278445991173, 'q25': 9.516145066499217, 'q75': 27.803338154624903, 'min_error': -8.991504115998424, 'max_error': 37.84809381996254, 'mae': 18.851007871459434, 'rmse': 21.392961253157925}, {'party': 'KPRF_share', 'mean_error': -3.2231943524168183, 'std_error': 5.352786470584551, 'median_error': -2.8861691401554985, 'q25': -6.884013824020153, 'q75': 1.1079304555986944, 'min_error': -17.90233542035677, 'max_error': 7.555153095438953, 'mae': 4.763537127233736, 'rmse': 6.220618628583917}, {'party': 'LDPR_share', 'mean_error': 7.758598767685574, 'std_error': 2.495508677314025, 'median_error': 8.057026213490236, 'q25': 6.4029467163947675, 'q75': 9.163839550275991, 'min_error': 0.416305812145481, 'max_error': 12.55132954425909, 'mae': 7.758598767685574, 'rmse': 8.145451952484535}]",332,83,"['GRP_per_capita_lag1', 'KPRF_share_lag1', 'LDPR_share_lag1', 'UR_share_lag1', 'age_working_share_lag1', 'average_salary_lag1', 'birth_rate_lag1', 'death_rate_lag1', 'doctors_per_1000_lag1', 'hospital_beds_per_1000_lag1', 'housing_area_per_capita_lag1', 'migration_rate_lag1', 'natural_population_growth_lag1', 'population_lag1', 'poverty_rate_lag1', 'real_disposable_income_lag1', 'turnout_rate', 'turnout_rate_lag1', 'unemployment_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
CatBoost,B,ALL_FEATURES,region,"[{'mae': 13.861354806373917, 'rmse': 15.293643312458638, 'r2': 0.1329456153848756, 'bias': 12.691380152326076, 'pearson_r': 0.9677129983754288, 'spearman_r': 0.9596924482448451, 'party': 'UR_share', 'n_samples': 332}, {'mae': 5.321244182018825, 'rmse': 6.231396360117516, 'r2': -0.14476920601971943, 'bias': 4.939567813114717, 'pearson_r': 0.7781959337273737, 'spearman_r': 0.7349023758953508, 'party': 'KPRF_share', 'n_samples': 332}, {'mae': 4.5941603783559986, 'rmse': 5.485012904944207, 'r2': 0.012479100972379364, 'bias': 3.8897018481224275, 'pearson_r': 0.7255932558452651, 'spearman_r': 0.7143160705203438, 'party': 'LDPR_share', 'n_samples': 332}]","[{'mae': 18.83822708429528, 'rmse': 21.339691425402055, 'r2': -0.7912243427653083, 'bias': 18.037504924318018, 'pearson_r': 0.9015189944588323, 'spearman_r': 0.7617648293522522, 'party': 'UR_share', 'n_samples': 83}, {'mae': 4.466175473217784, 'rmse': 5.617675692292071, 'r2': 0.4056646781840497, 'bias': -2.042108954790613, 'pearson_r': 0.7572501389544165, 'spearman_r': 0.5909911422694261, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 7.060312411321208, 'rmse': 7.464128758905719, 'r2': -3.759924919837222, 'bias': 7.029702060913892, 'pearson_r': 0.680612746866048, 'spearman_r': 0.5421896645816716, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': 18.037504924318018, 'std_error': 11.47242730479722, 'median_error': 22.553691499325623, 'q25': 9.913416840525219, 'q75': 26.939521027361128, 'min_error': -13.990661608385238, 'max_error': 36.985568855314185, 'mae': 18.83822708429528, 'rmse': 21.339691425402055}, {'party': 'KPRF_share', 'mean_error': -2.042108954790613, 'std_error': 5.265175407223617, 'median_error': -1.865419924077937, 'q25': -5.9615394428669966, 'q75': 1.895617621602673, 'min_error': -16.353151830688663, 'max_error': 7.707954191513089, 'mae': 4.466175473217784, 'rmse': 5.617675692292071}, {'party': 'LDPR_share', 'mean_error': 7.029702060913892, 'std_error': 2.524538321321809, 'median_error': 6.9783948268326785, 'q25': 5.403772281761445, 'q75': 8.569656812259755, 'min_error': -1.2703295419035836, 'max_error': 11.745154660776368, 'mae': 7.060312411321208, 'rmse': 7.464128758905719}]",332,83,"['GRP_per_capita_lag1', 'KPRF_share_lag1', 'LDPR_share_lag1', 'UR_share_lag1', 'age_working_share_lag1', 'average_salary_lag1', 'birth_rate_lag1', 'death_rate_lag1', 'doctors_per_1000_lag1', 'hospital_beds_per_1000_lag1', 'housing_area_per_capita_lag1', 'migration_rate_lag1', 'natural_population_growth_lag1', 'population_lag1', 'poverty_rate_lag1', 'real_disposable_income_lag1', 'turnout_rate', 'turnout_rate_lag1', 'unemployment_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
RandomForest,B,ELECTORAL_ONLY,region,"[{'mae': 13.248058629472077, 'rmse': 14.705764577808917, 'r2': 0.19832259586748135, 'bias': 13.176774501725514, 'pearson_r': 0.9398291175617299, 'spearman_r': 0.9009373002748319, 'party': 'UR_share', 'n_samples': 332}, {'mae': 4.520901905838345, 'rmse': 5.146929592388871, 'r2': 0.21901329530180802, 'bias': 4.416999684836821, 'pearson_r': 0.9164631867946588, 'spearman_r': 0.8916764469488964, 'party': 'KPRF_share', 'n_samples': 332}, {'mae': 3.9474577162456628, 'rmse': 4.732355212682529, 'r2': 0.2649012926658266, 'bias': 3.926875627000887, 'pearson_r': 0.938897037193535, 'spearman_r': 0.9251438677056556, 'party': 'LDPR_share', 'n_samples': 332}]","[{'mae': 16.27345984393722, 'rmse': 18.453124836245323, 'r2': -0.33941004571972133, 'bias': 16.27170910108386, 'pearson_r': 0.8766857635024137, 'spearman_r': 0.691364762184627, 'party': 'UR_share', 'n_samples': 83}, {'mae': 5.293742755744813, 'rmse': 6.556593313597421, 'r2': 0.19039215682146227, 'bias': -2.869168544647104, 'pearson_r': 0.5886896394125851, 'spearman_r': 0.3785105579110869, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 9.686487653814398, 'rmse': 10.761935715340492, 'r2': -8.895155979199828, 'bias': 9.622557474004536, 'pearson_r': 0.7553089429836256, 'spearman_r': 0.6759581881533101, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': 16.27170910108386, 'std_error': 8.756316068566383, 'median_error': 17.367575800870092, 'q25': 8.01226624036039, 'q75': 23.21084772921711, 'min_error': -0.07265582841441187, 'max_error': 32.72159926024721, 'mae': 16.27345984393722, 'rmse': 18.453124836245323}, {'party': 'KPRF_share', 'mean_error': -2.869168544647104, 'std_error': 5.931327929516985, 'median_error': -2.461829114583793, 'q25': -6.345959151429771, 'q75': 2.2865632819908503, 'min_error': -16.771089638906876, 'max_error': 7.52258541427458, 'mae': 5.293742755744813, 'rmse': 6.556593313597421}, {'party': 'LDPR_share', 'mean_error': 9.622557474004536, 'std_error': 4.848596457776635, 'median_error': 11.314620476753987, 'q25': 7.29609841217912, 'q75': 12.939249921256526, 'min_error': -1.0755817712862754, 'max_error': 18.472617493070132, 'mae': 9.686487653814398, 'rmse': 10.761935715340492}]",332,83,"['KPRF_share_lag1', 'LDPR_share_lag1', 'UR_share_lag1', 'age_working_share_lag1', 'turnout_rate', 'turnout_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
HistGradientBoosting,B,ELECTORAL_ONLY,region,"[{'mae': 13.415919312784924, 'rmse': 15.247852377857471, 'r2': 0.13812996443531145, 'bias': 13.218520623738698, 'pearson_r': 0.9033052483408701, 'spearman_r': 0.8439230917300296, 'party': 'UR_share', 'n_samples': 332}, {'mae': 4.754664085917187, 'rmse': 5.559426336370784, 'r2': 0.08881377384301758, 'bias': 4.330211109214329, 'pearson_r': 0.844008186279165, 'spearman_r': 0.8110019895045193, 'party': 'KPRF_share', 'n_samples': 332}, {'mae': 4.1073175864630596, 'rmse': 5.0445477505521605, 'r2': 0.16471349938797752, 'bias': 3.971918080610197, 'pearson_r': 0.9047988222266549, 'spearman_r': 0.8889737114539649, 'party': 'LDPR_share', 'n_samples': 332}]","[{'mae': 16.581814837461746, 'rmse': 19.1281511647399, 'r2': -0.4391952030047199, 'bias': 16.4790116927767, 'pearson_r': 0.8105253862844617, 'spearman_r': 0.5768649510935729, 'party': 'UR_share', 'n_samples': 83}, {'mae': 6.977793112579029, 'rmse': 8.294280594468896, 'r2': -0.29561408482968665, 'bias': -4.226652241920074, 'pearson_r': 0.3527971808282226, 'spearman_r': 0.14890222912556147, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 10.855416424827824, 'rmse': 11.989715781730906, 'r2': -11.281732491852408, 'bias': 10.772738579584667, 'pearson_r': 0.7714442442015054, 'spearman_r': 0.7046303681625455, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': 16.4790116927767, 'std_error': 9.77131957453394, 'median_error': 18.471206715796036, 'q25': 8.007512606470314, 'q75': 23.864918378401704, 'min_error': -3.183305209745427, 'max_error': 36.54600111197918, 'mae': 16.581814837461746, 'rmse': 19.1281511647399}, {'party': 'KPRF_share', 'mean_error': -4.226652241920074, 'std_error': 7.179944643333544, 'median_error': -4.502236674379995, 'q25': -9.128843052997084, 'q75': 1.7011724783733104, 'min_error': -18.03062115558513, 'max_error': 13.006089365471215, 'mae': 6.977793112579029, 'rmse': 8.294280594468896}, {'party': 'LDPR_share', 'mean_error': 10.772738579584667, 'std_error': 5.295206306440674, 'median_error': 11.405048789093717, 'q25': 7.714932263149727, 'q75': 14.686912248277416, 'min_error': -1.7176634258136958, 'max_error': 18.58159657317652, 'mae': 10.855416424827824, 'rmse': 11.989715781730906}]",332,83,"['KPRF_share_lag1', 'LDPR_share_lag1', 'UR_share_lag1', 'age_working_share_lag1', 'turnout_rate', 'turnout_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
XGBoost,B,ELECTORAL_ONLY,region,"[{'mae': 13.665986268896297, 'rmse': 15.33331787060423, 'r2': 0.12844117927428012, 'bias': 12.994703308874472, 'pearson_r': 0.9456784079017242, 'spearman_r': 0.9114530229559589, 'party': 'UR_share', 'n_samples': 332}, {'mae': 4.80805229400727, 'rmse': 5.58494784047237, 'r2': 0.08042865664605003, 'bias': 4.639479066441951, 'pearson_r': 0.8677838804240146, 'spearman_r': 0.8253986654053709, 'party': 'KPRF_share', 'n_samples': 332}, {'mae': 4.221480246686546, 'rmse': 4.968751858321481, 'r2': 0.1896258018787912, 'bias': 3.886467071283262, 'pearson_r': 0.8353365997054625, 'spearman_r': 0.8108782653171925, 'party': 'LDPR_share', 'n_samples': 332}]","[{'mae': 18.84353646013286, 'rmse': 21.606584406234862, 'r2': -0.8363097891193505, 'bias': 18.3521966554403, 'pearson_r': 0.8153952155265236, 'spearman_r': 0.5904873850803911, 'party': 'UR_share', 'n_samples': 83}, {'mae': 5.188467561446845, 'rmse': 6.47550835753327, 'r2': 0.2102930678943088, 'bias': -2.777863341943038, 'pearson_r': 0.6050231784871647, 'spearman_r': 0.3192771084337349, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 7.496153621578158, 'rmse': 7.880630845547747, 'r2': -4.305958218422952, 'bias': 7.450765165056062, 'pearson_r': 0.7017162438938053, 'spearman_r': 0.594181604466647, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': 18.3521966554403, 'std_error': 11.472891438546474, 'median_error': 23.17613225375255, 'q25': 8.295062760649362, 'q75': 27.649337282361895, 'min_error': -7.874652309357799, 'max_error': 39.47028620277504, 'mae': 18.84353646013286, 'rmse': 21.606584406234862}, {'party': 'KPRF_share', 'mean_error': -2.777863341943038, 'std_error': 5.884976480653936, 'median_error': -2.7428829543187447, 'q25': -6.871839225832668, 'q75': 1.9956632686234883, 'min_error': -17.450110901184807, 'max_error': 9.00931592476745, 'mae': 5.188467561446845, 'rmse': 6.47550835753327}, {'party': 'LDPR_share', 'mean_error': 7.450765165056062, 'std_error': 2.5827915538108694, 'median_error': 7.563311799121166, 'q25': 6.447841124440363, 'q75': 9.331522738257462, 'min_error': -1.883620945667019, 'max_error': 11.61897818353781, 'mae': 7.496153621578158, 'rmse': 7.880630845547747}]",332,83,"['KPRF_share_lag1', 'LDPR_share_lag1', 'UR_share_lag1', 'age_working_share_lag1', 'turnout_rate', 'turnout_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
CatBoost,B,ELECTORAL_ONLY,region,"[{'mae': 14.115545683331064, 'rmse': 15.909163834690453, 'r2': 0.06174879004682565, 'bias': 12.930012798895701, 'pearson_r': 0.9351956531797444, 'spearman_r': 0.9054504947199593, 'party': 'UR_share', 'n_samples': 332}, {'mae': 5.310002934715062, 'rmse': 6.22027305337964, 'r2': -0.14068593053459577, 'bias': 4.8030033348168635, 'pearson_r': 0.7706322577259732, 'spearman_r': 0.7246836615671471, 'party': 'KPRF_share', 'n_samples': 332}, {'mae': 4.610226526934867, 'rmse': 5.602411404680541, 'r2': -0.030246108737723043, 'bias': 3.7876336798506585, 'pearson_r': 0.6867080980201296, 'spearman_r': 0.6781367324445984, 'party': 'LDPR_share', 'n_samples': 332}]","[{'mae': 17.72608784068466, 'rmse': 20.375547314598688, 'r2': -0.6330229150354905, 'bias': 17.146022013609205, 'pearson_r': 0.8724954829363104, 'spearman_r': 0.6640149447966079, 'party': 'UR_share', 'n_samples': 83}, {'mae': 4.459894016716265, 'rmse': 5.676580815985115, 'r2': 0.3931353168775641, 'bias': -1.6894189229843461, 'pearson_r': 0.6770839703172891, 'spearman_r': 0.47036228537844754, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 7.587846495142537, 'rmse': 7.949291928815049, 'r2': -4.398818779753718, 'bias': 7.568494939816436, 'pearson_r': 0.7060119200658344, 'spearman_r': 0.5793627471558708, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': 17.146022013609205, 'std_error': 11.07495480951916, 'median_error': 21.949038797357822, 'q25': 7.056786205467247, 'q75': 26.002660159776003, 'min_error': -11.418140120673101, 'max_error': 36.68290078534874, 'mae': 17.72608784068466, 'rmse': 20.375547314598688}, {'party': 'KPRF_share', 'mean_error': -1.6894189229843461, 'std_error': 5.452302017111034, 'median_error': -1.359587226272975, 'q25': -5.746150003192632, 'q75': 2.5856674994865796, 'min_error': -16.319162941333047, 'max_error': 9.032890649550517, 'mae': 4.459894016716265, 'rmse': 5.676580815985115}, {'party': 'LDPR_share', 'mean_error': 7.568494939816436, 'std_error': 2.4456469561199556, 'median_error': 8.176361707908544, 'q25': 6.071062799860989, 'q75': 9.303557665638323, 'min_error': -0.8030895460332577, 'max_error': 12.057250355217953, 'mae': 7.587846495142537, 'rmse': 7.949291928815049}]",332,83,"['KPRF_share_lag1', 'LDPR_share_lag1', 'UR_share_lag1', 'age_working_share_lag1', 'turnout_rate', 'turnout_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
RandomForest,B,ROSSTAT_ONLY,region,"[{'mae': 13.643710909034322, 'rmse': 15.454283186283483, 'r2': 0.11463539324650274, 'bias': 13.426951881179129, 'pearson_r': 0.9151281822740902, 'spearman_r': 0.8792111370279025, 'party': 'UR_share', 'n_samples': 332}, {'mae': 4.3675729084853305, 'rmse': 4.948262225196934, 'r2': 0.278140629328967, 'bias': 4.340134350875338, 'pearson_r': 0.9252495908457464, 'spearman_r': 0.9062722679728468, 'party': 'KPRF_share', 'n_samples': 332}, {'mae': 3.7568942844059383, 'rmse': 4.296807225834121, 'r2': 0.39398590207223494, 'bias': 3.7535635815087582, 'pearson_r': 0.9503303940833762, 'spearman_r': 0.9391212272950707, 'party': 'LDPR_share', 'n_samples': 332}]","[{'mae': 18.1046719595379, 'rmse': 20.584842552862938, 'r2': -0.6667436585335569, 'bias': 16.84330666868711, 'pearson_r': 0.7854266626134552, 'spearman_r': 0.6619999160404684, 'party': 'UR_share', 'n_samples': 83}, {'mae': 5.627173090421783, 'rmse': 7.037139584295727, 'r2': 0.06736750138974668, 'bias': -3.7169212982063566, 'pearson_r': 0.6737706730096611, 'spearman_r': 0.5608916502245916, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 9.898712659960541, 'rmse': 10.248941870637982, 'r2': -7.974286235321685, 'bias': 9.898712659960541, 'pearson_r': 0.7513657607117928, 'spearman_r': 0.6873137147894715, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': 16.84330666868711, 'std_error': 11.905736146419708, 'median_error': 20.564630516860134, 'q25': 8.573213746148287, 'q75': 26.333483642653558, 'min_error': -8.77081631649537, 'max_error': 35.315849386973305, 'mae': 18.1046719595379, 'rmse': 20.584842552862938}, {'party': 'KPRF_share', 'mean_error': -3.7169212982063566, 'std_error': 6.0117606853602625, 'median_error': -3.4727097150877775, 'q25': -7.833844658161178, 'q75': 0.685385382443819, 'min_error': -19.882502005689027, 'max_error': 7.4480602706907515, 'mae': 5.627173090421783, 'rmse': 7.037139584295727}, {'party': 'LDPR_share', 'mean_error': 9.898712659960541, 'std_error': 2.6725174550298623, 'median_error': 9.819382221729112, 'q25': 8.717376712654495, 'q75': 11.700667436708184, 'min_error': 2.3175037323992314, 'max_error': 15.232579938764594, 'mae': 9.898712659960541, 'rmse': 10.248941870637982}]",332,83,"['GRP_per_capita_lag1', 'age_working_share_lag1', 'average_salary_lag1', 'birth_rate_lag1', 'death_rate_lag1', 'doctors_per_1000_lag1', 'hospital_beds_per_1000_lag1', 'housing_area_per_capita_lag1', 'migration_rate_lag1', 'natural_population_growth_lag1', 'population_lag1', 'poverty_rate_lag1', 'real_disposable_income_lag1', 'unemployment_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
HistGradientBoosting,B,ROSSTAT_ONLY,region,"[{'mae': 13.705690813087207, 'rmse': 15.593315093486375, 'r2': 0.09863366408636565, 'bias': 13.264804517586521, 'pearson_r': 0.881413617395412, 'spearman_r': 0.8458489793254836, 'party': 'UR_share', 'n_samples': 332}, {'mae': 4.574256187489123, 'rmse': 5.399615371008808, 'r2': 0.1404466527312983, 'bias': 4.414765025255638, 'pearson_r': 0.8962887938029281, 'spearman_r': 0.8771032525627946, 'party': 'KPRF_share', 'n_samples': 332}, {'mae': 4.040187520608477, 'rmse': 4.844711302876055, 'r2': 0.22958134025002752, 'bias': 3.841080270721065, 'pearson_r': 0.8965323509311258, 'spearman_r': 0.8729350323642902, 'party': 'LDPR_share', 'n_samples': 332}]","[{'mae': 17.062308859537367, 'rmse': 19.678474549481273, 'r2': -0.5231987379196914, 'bias': 16.244483506960844, 'pearson_r': 0.7574972911168967, 'spearman_r': 0.5756895176524914, 'party': 'UR_share', 'n_samples': 83}, {'mae': 5.879342271579336, 'rmse': 7.308071949952172, 'r2': -0.005828281391319523, 'bias': -4.29920281716321, 'pearson_r': 0.6282512425824256, 'spearman_r': 0.4756307459804374, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 11.079994537489146, 'rmse': 11.845314618987015, 'r2': -10.987677702105513, 'bias': 11.079817340643663, 'pearson_r': 0.7139805161447487, 'spearman_r': 0.6134083371814785, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': 16.244483506960844, 'std_error': 11.174233559951672, 'median_error': 18.585393004249347, 'q25': 6.677106366214261, 'q75': 25.23269413854944, 'min_error': -12.118158826829216, 'max_error': 36.08339500865666, 'mae': 17.062308859537367, 'rmse': 19.678474549481273}, {'party': 'KPRF_share', 'mean_error': -4.29920281716321, 'std_error': 5.945644002220589, 'median_error': -4.575709709757245, 'q25': -8.182452063348354, 'q75': -0.004871222675194353, 'min_error': -19.975320276888844, 'max_error': 9.178653830309253, 'mae': 5.879342271579336, 'rmse': 7.308071949952172}, {'party': 'LDPR_share', 'mean_error': 11.079817340643663, 'std_error': 4.214634011861468, 'median_error': 11.627262051478574, 'q25': 9.116652903764773, 'q75': 14.227595895721898, 'min_error': -0.0073536690876157, 'max_error': 18.066245176142736, 'mae': 11.079994537489146, 'rmse': 11.845314618987015}]",332,83,"['GRP_per_capita_lag1', 'age_working_share_lag1', 'average_salary_lag1', 'birth_rate_lag1', 'death_rate_lag1', 'doctors_per_1000_lag1', 'hospital_beds_per_1000_lag1', 'housing_area_per_capita_lag1', 'migration_rate_lag1', 'natural_population_growth_lag1', 'population_lag1', 'poverty_rate_lag1', 'real_disposable_income_lag1', 'unemployment_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
